node_id,x_m,y_m,z_m,local_length_m,local_width_m
31956,4972.3540160610,5142.9534874428,530.0000000000,140.0000000000,-40.0000000000
31957,4974.0971309160,5162.8773814046,530.0000000000,160.0000000000,-40.0000000000
31958,4975.8402457709,5182.8012753664,530.0000000000,180.0000000000,-40.0000000000
31959,4977.5833606259,5202.7251693283,530.0000000000,200.0000000000,-40.0000000000
31960,4979.3264754808,5222.6490632901,530.0000000000,220.0000000000,-40.0000000000
31961,4981.0695903358,5242.5729572519,530.0000000000,240.0000000000,-40.0000000000
31962,4982.8127051907,5262.4968512138,530.0000000000,260.0000000000,-40.0000000000
31963,4984.5558200457,5282.4207451756,530.0000000000,280.0000000000,-40.0000000000
31992,4955.6724980688,4722.8085993893,530.0000000000,-280.0000000000,-20.0000000000
31993,4957.4156129238,4742.7324933511,530.0000000000,-260.0000000000,-20.0000000000
31994,4959.1587277787,4762.6563873129,530.0000000000,-240.0000000000,-20.0000000000
31995,4960.9018426337,4782.5802812748,530.0000000000,-220.0000000000,-20.0000000000
31996,4962.6449574886,4802.5041752366,530.0000000000,-200.0000000000,-20.0000000000
31997,4964.3880723436,4822.4280691984,530.0000000000,-180.0000000000,-20.0000000000
31998,4966.1311871985,4842.3519631603,530.0000000000,-160.0000000000,-20.0000000000
31999,4967.8743020535,4862.2758571221,530.0000000000,-140.0000000000,-20.0000000000
32000,4969.6174169084,4882.1997510839,530.0000000000,-120.0000000000,-20.0000000000
32001,4971.3605317634,4902.1236450458,530.0000000000,-100.0000000000,-20.0000000000
32002,4973.1036466184,4922.0475390076,530.0000000000,-80.0000000000,-20.0000000000
32003,4974.8467614733,4941.9714329694,530.0000000000,-60.0000000000,-20.0000000000
32004,4976.5898763283,4961.8953269313,530.0000000000,-40.0000000000,-20.0000000000
32005,4978.3329911832,4981.8192208931,530.0000000000,-20.0000000000,-20.0000000000
32006,4980.0761060382,5001.7431148550,530.0000000000,0.0000000001,-20.0000000000
32007,4981.8192208931,5021.6670088168,530.0000000000,20.0000000000,-20.0000000000
32008,4983.5623357481,5041.5909027786,530.0000000000,40.0000000000,-20.0000000000
32009,4985.3054506030,5061.5147967405,530.0000000000,60.0000000000,-20.0000000000
32010,4987.0485654580,5081.4386907023,530.0000000000,80.0000000000,-20.0000000000
32011,4988.7916803129,5101.3625846641,530.0000000000,100.0000000000,-20.0000000000
32012,4990.5347951679,5121.2864786260,530.0000000000,120.0000000000,-20.0000000000
32013,4992.2779100228,5141.2103725878,530.0000000000,140.0000000000,-20.0000000000
32014,4994.0210248778,5161.1342665496,530.0000000000,160.0000000000,-20.0000000000
32015,4995.7641397327,5181.0581605115,530.0000000000,180.0000000000,-20.0000000000
32016,4997.5072545877,5200.9820544733,530.0000000000,200.0000000000,-20.0000000000
32017,4999.2503694426,5220.9059484351,530.0000000000,220.0000000000,-20.0000000000
32018,5000.9934842976,5240.8298423970,530.0000000000,240.0000000000,-20.0000000000
32019,5002.7365991526,5260.7537363588,530.0000000000,260.0000000000,-20.0000000000
32020,5004.4797140075,5280.6776303206,530.0000000000,280.0000000000,-20.0000000000
32049,4975.5963920307,4721.0654845343,530.0000000000,-280.0000000000,0.0000000000
32050,4977.3395068856,4740.9893784961,530.0000000000,-260.0000000000,-0.0000000000
32051,4979.0826217406,4760.9132724580,530.0000000000,-240.0000000000,0.0000000000
32052,4980.8257365955,4780.8371664198,530.0000000000,-220.0000000000,-0.0000000000
32053,4982.5688514505,4800.7610603817,530.0000000000,-199.9999999999,0.0000000000
32054,4984.3119663054,4820.6849543435,530.0000000000,-180.0000000000,-0.0000000000
32055,4986.0550811604,4840.6088483053,530.0000000000,-160.0000000000,0.0000000000
32056,4987.7981960153,4860.5327422672,530.0000000000,-140.0000000000,-0.0000000000
32057,4989.5413108703,4880.4566362290,530.0000000000,-120.0000000000,0.0000000000
32058,4991.2844257252,4900.3805301908,530.0000000000,-100.0000000000,-0.0000000000
32059,4993.0275405802,4920.3044241527,530.0000000000,-80.0000000000,0.0000000000
32060,4994.7706554351,4940.2283181145,530.0000000000,-60.0000000000,-0.0000000000
32061,4996.5137702901,4960.1522120763,530.0000000000,-40.0000000000,0.0000000000
32062,4998.2568851450,4980.0761060382,530.0000000000,-20.0000000000,-0.0000000001
32063,5000.0000000000,5000.0000000000,530.0000000000,0.0000000000,0.0000000000
32064,5001.7431148550,5019.9238939618,530.0000000000,20.0000000000,0.0000000001
32065,5003.4862297099,5039.8477879237,530.0000000000,40.0000000000,-0.0000000000
32066,5005.2293445649,5059.7716818855,530.0000000000,60.0000000000,0.0000000000
32067,5006.9724594198,5079.6955758473,530.0000000000,80.0000000000,-0.0000000000
32068,5008.7155742748,5099.6194698092,530.0000000000,100.0000000000,0.0000000000
32069,5010.4586891297,5119.5433637710,530.0000000000,120.0000000000,-0.0000000000
32070,5012.2018039847,5139.4672577328,530.0000000000,140.0000000000,0.0000000000
32071,5013.9449188396,5159.3911516947,530.0000000000,160.0000000000,-0.0000000000
32072,5015.6880336946,5179.3150456565,530.0000000000,180.0000000000,0.0000000000
32073,5017.4311485495,5199.2389396183,530.0000000000,199.9999999999,-0.0000000000
32074,5019.1742634045,5219.1628335802,530.0000000000,220.0000000000,0.0000000000
32075,5020.9173782594,5239.0867275420,530.0000000000,240.0000000000,-0.0000000000
32076,5022.6604931144,5259.0106215039,530.0000000000,260.0000000000,0.0000000000
32077,5024.4036079693,5278.9345154657,530.0000000000,280.0000000000,-0.0000000000
32106,4995.5202859925,4719.3223696794,530.0000000000,-280.0000000000,20.0000000000
32107,4997.2634008474,4739.2462636412,530.0000000000,-260.0000000000,20.0000000000
32108,4999.0065157024,4759.1701576030,530.0000000000,-240.0000000000,20.0000000000
32109,5000.7496305574,4779.0940515649,530.0000000000,-220.0000000000,20.0000000000
32110,5002.4927454123,4799.0179455267,530.0000000000,-200.0000000000,20.0000000000
32111,5004.2358602673,4818.9418394885,530.0000000000,-180.0000000000,20.0000000000
32112,5005.9789751222,4838.8657334504,530.0000000000,-160.0000000000,20.0000000000
32113,5007.7220899772,4858.7896274122,530.0000000000,-140.0000000000,20.0000000000
32114,5009.4652048321,4878.7135213740,530.0000000000,-120.0000000000,20.0000000000
32115,5011.2083196871,4898.6374153359,530.0000000000,-100.0000000000,20.0000000000
32116,5012.9514345420,4918.5613092977,530.0000000000,-80.0000000000,20.0000000000
32117,5014.6945493970,4938.4852032595,530.0000000000,-60.0000000000,20.0000000000
32118,5016.4376642519,4958.4090972214,530.0000000000,-40.0000000000,20.0000000000
32119,5018.1807791069,4978.3329911832,530.0000000000,-20.0000000000,20.0000000000
32120,5019.9238939618,4998.2568851450,530.0000000000,-0.0000000001,20.0000000000
32121,5021.6670088168,5018.1807791069,530.0000000000,20.0000000000,20.0000000000
32122,5023.4101236717,5038.1046730687,530.0000000000,40.0000000000,20.0000000000
32123,5025.1532385267,5058.0285670306,530.0000000000,60.0000000000,20.0000000000
32124,5026.8963533816,5077.9524609924,530.0000000000,80.0000000000,20.0000000000
32125,5028.6394682366,5097.8763549542,530.0000000000,100.0000000000,20.0000000000
32126,5030.3825830916,5117.8002489161,530.0000000000,120.0000000000,20.0000000000
32127,5032.1256979465,5137.7241428779,530.0000000000,140.0000000000,20.0000000000
32128,5033.8688128015,5157.6480368397,530.0000000000,160.0000000000,20.0000000000
32129,5035.6119276564,5177.5719308016,530.0000000000,180.0000000000,20.0000000000
32130,5037.3550425114,5197.4958247634,530.0000000000,200.0000000000,20.0000000000
32131,5039.0981573663,5217.4197187252,530.0000000000,220.0000000000,20.0000000000
32132,5040.8412722213,5237.3436126871,530.0000000000,240.0000000000,20.0000000000
32133,5042.5843870762,5257.2675066489,530.0000000000,260.0000000000,20.0000000000
32134,5044.3275019312,5277.1914006107,530.0000000000,280.0000000000,20.0000000000
32163,5015.4441799543,4717.5792548244,530.0000000000,-280.0000000000,40.0000000000
32164,5017.1872948093,4737.5031487862,530.0000000000,-260.0000000000,40.0000000000
32165,5018.9304096642,4757.4270427481,530.0000000000,-240.0000000000,40.0000000000
32166,5020.6735245192,4777.3509367099,530.0000000000,-220.0000000000,40.0000000000
32167,5022.4166393741,4797.2748306717,530.0000000000,-200.0000000000,40.0000000000
32168,5024.1597542291,4817.1987246336,530.0000000000,-180.0000000000,40.0000000000
32169,5025.9028690840,4837.1226185954,530.0000000000,-160.0000000000,40.0000000000
32170,5027.6459839390,4857.0465125572,530.0000000000,-140.0000000000,40.0000000000
32171,5029.3890987940,4876.9704065191,530.0000000000,-120.0000000000,40.0000000000
32172,5031.1322136489,4896.8943004809,530.0000000000,-100.0000000000,40.0000000000
32173,5032.8753285039,4916.8181944428,530.0000000000,-80.0000000000,40.0000000000
32174,5034.6184433588,4936.7420884046,530.0000000000,-60.0000000000,40.0000000000
32175,5036.3615582138,4956.6659823664,530.0000000000,-40.0000000000,40.0000000000
32176,5038.1046730687,4976.5898763283,530.0000000000,-20.0000000000,40.0000000000
32177,5039.8477879237,4996.5137702901,530.0000000000,0.0000000000,40.0000000000
32178,5041.5909027786,5016.4376642519,530.0000000000,20.0000000000,40.0000000000
32179,5043.3340176336,5036.3615582138,530.0000000000,40.0000000000,40.0000000000
32180,5045.0771324885,5056.2854521756,530.0000000000,60.0000000000,40.0000000000
32181,5046.8202473435,5076.2093461374,530.0000000000,80.0000000000,40.0000000000
32182,5048.5633621984,5096.1332400993,530.0000000000,100.0000000000,40.0000000000
32183,5050.3064770534,5116.0571340611,530.0000000000,120.0000000000,40.0000000000
32184,5052.0495919083,5135.9810280229,530.0000000000,140.0000000000,40.0000000000
32185,5053.7927067633,5155.9049219848,530.0000000000,160.0000000000,40.0000000000
32186,5055.5358216182,5175.8288159466,530.0000000000,180.0000000000,40.0000000000
32187,5057.2789364732,5195.7527099084,530.0000000000,200.0000000000,40.0000000000
32188,5059.0220513282,5215.6766038703,530.0000000000,220.0000000000,40.0000000000
